鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
八德區,房地(土地+建物),桃園市八德區興隆街１４巷１１號,82.44,,特定農業區,甲種建築用地,1121231,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0911209,224.78,4,3,3,有,有,20360000,90577,,0.0,0,頂樓增建、頂樓採光罩增建、壹樓陽台外推增建。其他增建；,RPROMLRKJHJGFFH68DA,206.57,7.7,10.51,無,
八德區,房地(土地+建物),桃園市八德區國聯街３９號,67.91,工,,,1121227,土地1建物1車位0,全,三層,透天厝,辦公用,鋼筋混凝土造,0820511,163.54,4,2,2,有,無,11200000,68485,,0.0,0,頂樓加蓋；未登記建物；,RPUNMLPKKHJGFFH78DA,135.3,18.91,9.33,無,
平鎮區,房地(土地+建物),桃園市平鎮區延平路二段２１巷４３弄２０衖４５號四樓,36.67,住,,,1121213,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0831015,92.34,3,2,2,有,無,5200000,56314,,0.0,0,,RPOOMLMJJHJGFGH87DA,78.72,0.0,9.93,無,
平鎮區,房地(土地+建物)+車位,桃園市平鎮區大連街１２６之１號二樓,14.84,商,,,1121208,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050701,152.28,3,2,2,有,有,11596000,76149,坡道平面,33.69,0,,RPPNMLKMJHJGFGH97DA,73.25,0.0,7.8,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂善一路２７７號十六樓,9.65,商,,,1121201,土地1建物1車位1,十六層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120801,124.05000000000001,2,2,1,有,有,12000000,96735,坡道平面,28.74,0,欄杆增建,RPRNMLOJKIIGFHH48DA,55.99,0.0,7.86,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文青二路５３號十三樓之６,22.4,住,,,1121221,土地1建物1車位1,十三層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1040709,192.56,4,2,2,有,有,15800000,92117,坡道平面,40.58,1800000,,RPOPMLLLKIIGFHH28DA,95.97,0.0,10.5,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區文化七路１８１巷３０號之７五樓,20.85,住,,,1121225,土地1建物1車位1,五層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0951226,90.49000000000001,2,1,1,有,有,9360000,103437,坡道平面,33.52,0,夾層；,RPWNMLLKJHJGFHH68DA,30.96,6.79,4.42,有,
龜山區,房地(土地+建物)+車位,桃園市龜山區樂學一路１３號十二樓,12.35,商,,,1121223,土地1建物1車位1,十二層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120831,157.75,3,2,2,有,有,15600000,98891,坡道平面,31.89,0,有露臺,RPVNMLMJKHJGFHH68DA,75.89,0.0,9.68,有,
桃園區,房地(土地+建物),桃園市桃園區中正三街１８９號三樓　　　,18.78,住,,,1121229,土地1建物1車位0,三層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0820419,104.69,3,2,2,有,無,6650000,63521,,0.0,0,,RPPNMLPJKHJGFAH77EA,66.52,0.81,8.61,有,
觀音區,土地,工業區段二小段12-2地號,898.0,,工業區,丁種建築用地,1121226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,74702375,83188,,0.0,0,,RPQNMLRKKHJGFBH28EA,0.0,0.0,0.0,無,
龍潭區,土地,文化段518地號,1545.78,,一般農業區,農牧用地,1121225,土地22建物0車位0,,,其他,,,,0.0,0,0,0,無,無,6574486,4253,,0.0,0,,RPQNMLKMJHJGFCH77EA,0.0,0.0,0.0,無,
大溪區,土地,太武段593地號,36.08,都市：其他:道路用地,,,1121222,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1800000,49889,,0.0,0,包含公共設施保留地用地；,RPQNMLQKKHJGFCH28EA,0.0,0.0,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區介壽路８９６號,174.24,商,,,1121222,土地2建物3車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),商業用,加強磚造,0700110,506.7,9,3,3,有,無,24200000,47760,,0.0,0,包含公共設施保留地用地；,RPRNMLQKKHJGFCH38EA,506.7,0.0,0.0,無,
大溪區,房地(土地+建物),桃園市大溪區介壽路８９４號,166.5,商,,,1121222,土地2建物3車位0,一層，騎樓,三層,公寓(5樓含以下無電梯),商業用,加強磚造,0700110,482.34,9,3,3,有,無,30000000,62197,,0.0,0,包含公共設施保留地用地；,RPSNMLQKKHJGFCH48EA,482.34,0.0,0.0,無,
楊梅區,房地(土地+建物),桃園市楊梅區快速路五段８９９巷３６號,74.6,,一般農業區,甲種建築用地,1121223,土地2建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,0970418,176.5,4,3,3,有,無,9750000,55241,,0.0,0,,RPQNMLRKKHJGFDH48EA,165.51,6.05,4.68,無,
大園區,房地(土地+建物)+車位,桃園市大園區南和路１７７之９號八樓,25.25,住,,,1121218,土地1建物1車位1,八層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1120421,120.62,2,1,1,有,有,8400000,69640,坡道平面,24.5,0,,RPPNMLRKKHJGFEH48EA,56.17,4.34,4.93,有,
平鎮區,土地,德育段1298地號,93.43,住,,,1121222,土地1建物1車位0,一層，二層,二層,其他,住家用,加強磚造,0770714,135.45,0,0,0,無,無,15000000,160548,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLTKKHJGFGH88EA,0.0,0.0,0.0,無,
平鎮區,土地,新生段1203地號,26.11,住,,,1121220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,1120100,42899,,0.0,0,,RPQNMLTKKHJGFGH98EA,0.0,0.0,0.0,無,
大溪區,土地,廣福段9地號,2948.96,,特定農業區,農牧用地,1121124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,21600000,7325,,0.0,0,農作物；,RPXPMLMKJHJGFCH58DA,0.0,0.0,0.0,無,
