鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,
林口區,房地(土地+建物)+車位,文化二路二段88巷1~30號,18.88,都市：其他:第五種住宅區,,,1090912,土地1建物1車位1,三層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970131,135.88,3,2,1,有,有,9460000,69620,坡道平面,29.74,0,陽台外推;,RPSNMLOKRHPFFBF09DA,63.96,0.0,10.09,有
五股區,房地(土地+建物),成泰路一段7巷9弄1~30號,32.01,都市：其他:住宅區,,,1090813,土地1建物1車位0,四層，陽臺,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691107,93.6,6,0,6,有,無,6300000,67308,,0.0,0,隔間套房產品陽台外推;頂樓加蓋;,RPOOMLOLRHPFFBF88DA,93.6,0.0,0.0,無
新莊區,房地(土地+建物)+車位,中正路181~210號,24.67,都市：其他:住宅區,,,1090918,土地1建物1車位1,十八層,二十二層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051122,239.2,3,2,2,有,有,31750000,150778,坡道平面,41.89,2000000,,RPSNMLLLRHPFFBF88DA,119.64,2.75,11.3,有
新莊區,房地(土地+建物)+車位,福德二街1~30號,36.92,都市：其他:第二種住宅區,,,1090716,土地1建物1車位2,七層,二十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080102,274.73,4,2,2,有,有,28650000,122901,坡道平面,68.06,3250000,1.房屋及車位價款含各5%加值型營業稅2.車位總價無法拆分各別車位價格,RPPVMLNLRHPFFBF96DA,123.49,6.24,12.48,有
林口區,房地(土地+建物)+車位,仁愛路二段511~540號,18.99,都市：其他:中心商業區,,,1090925,土地1建物1車位1,十九層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970729,190.82999999999998,2,2,2,有,有,14300000,74936,坡道平面,39.18,0,,RPUOMLQLRHPFFBF07DA,89.67,0.0,10.63,有
五股區,房地(土地+建物)+車位,新五路三段241~270號,13.39,都市：其他:商業區,,,1090814,土地1建物1車位1,十五層,十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080319,122.99000000000001,2,2,1,有,有,10200000,95860,坡道平面,37.97,2050000,,RPRRMLQLRHPFFBF07DA,51.25,0.0,4.73,有
新莊區,房地(土地+建物)+車位,新北大道三段151~180號,59.89,都市：其他:第二種商業區,,,1090818,土地1建物1車位3,二十層,四十二層,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1070227,578.86,0,0,0,無,有,90000000,176106,坡道平面,112.38,7850000,,RPRRMLRJIIPFFBF78DA,272.68,0.0,24.7,有
林口區,土地,南勢埔段頭湖小段181~210地號,431.93,都市：其他:,,,1090921,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,18292000,42349,,0.0,0,,RPRRMLKMRHPFFBF56DA,0.0,0.0,0.0,無
泰山區,房地(土地+建物),全興路全福巷1~30號,31.34,都市：其他:住宅區,,,1090906,土地1建物1車位0,二層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701128,102.53,3,2,1,有,無,7800000,76075,,0.0,0,陽台外推;,RPTTMLPJIIPFFBF98DA,89.56,0.0,12.97,無
泰山區,土地,同榮段31~60地號,52.92,都市：其他:道路用地,,,1090917,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3845000,72657,,0.0,0,包含公共設施保留地用地;,RPTNMLSLRHPFFBF07DA,0.0,0.0,0.0,無
林口區,房地(土地+建物)+車位,文化三路一段601~630號,16.56,都市：其他:中心商業區,,,1090919,土地1建物1車位1,十一層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1080814,162.26,2,2,2,有,有,17000000,105965,坡道平面,19.76,1900000,,RPSPMLKMRHPFFBF09DA,82.92,3.05,10.22,有
新莊區,房地(土地+建物),中華路二段210巷1~30號,13.61,都市：其他:住宅區,,,1090913,土地1建物1車位0,七層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810113,99.32,3,2,1,有,有,10700000,107733,,0.0,0,,RPPTMLMKIIPFFBF38DA,70.07,0.7,11.19,有
林口區,建物,中北二街31~60號,0.0,,,,1090528,土地0建物1車位1,八層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,145.03,3,2,2,有,有,9820000,71591,坡道平面,30.91,1650000,,RPTUMLMKIIPFFBF88DA,70.19,0.0,6.39,有
林口區,建物,中北二街31~60號,0.0,,,,1090429,土地0建物1車位1,七層,九層,華廈(10層含以下有電梯),見其他登記事項,鋼筋混凝土造,1090924,145.03,3,2,2,有,有,9820000,71591,坡道平面,30.91,1650000,,RPUUMLMKIIPFFBF98DA,70.19,0.0,6.39,有
五股區,房地(土地+建物),新五路二段541~570號,35.36,都市：其他:住宅區,,,1090919,土地1建物1車位0,八層,十四層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040803,157.59,3,2,2,有,有,14000000,88838,,0.0,0,,RPSRMLSJIIPFFBF98DA,91.62,5.5,10.08,有
林口區,房地(土地+建物),麗園一街1~30號,42.54,都市：其他:第五種住宅區,,,1090915,土地1建物1車位0,十六層,十六層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0840411,168.5,2,1,2,有,有,10000000,59347,,0.0,0,,RPUOMLSJIIPFFBF88DA,101.89,1.21,9.78,有
林口區,房地(土地+建物)+車位,文化三路一段555巷1~30號,15.19,都市：其他:第五種住宅區,,,1090913,土地1建物1車位1,六層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961227,121.66,2,0,2,有,有,8550000,70278,坡道平面,0.0,0,,RPUSMLNKIIPFFBF88DA,50.02,0.0,6.46,有
林口區,房地(土地+建物)+車位,民富街61~90號,15.52,都市：其他:中心商業區,,,1090706,土地1建物1車位1,二十八層,二十九層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1090122,191.24,3,2,2,有,有,23910000,125026,坡道平面,22.8,0,,RPTPMLNKIIPFFBF48DA,100.95,5.77,9.72,有
新莊區,房地(土地+建物)+車位,中智街31~60號,42.97,都市：其他:第二種住宅區,,,1090910,土地1建物1車位1,五層,十八層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1030812,321.38,3,2,3,有,有,37690000,128417,坡道平面,48.13,2600000,,RPSQMLNKIIPFFBF48DA,153.49,11.11,15.11,有
林口區,土地,南勢埔段頭湖小段211~240地號,35.84,都市：其他:,,,1091008,土地6建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,41853,,0.0,0,,RPRUMLNKIIPFFBF78DA,0.0,0.0,0.0,無
